site_id,building_id,primary_use,square_feet,year_built,floor_count,EUI,chilled_water,steam,hotwater,EUIR,HDD18,CDD18,EUIC,EPIn_s,EPIn_w,EPIw_s,EPIw_w,EPIt_s,EPIt_a,NWH_sm_lv,NWH_wt_lv,WKD_sm_lv,WKD_wt_lv,TRS_sp_lv,TRS_at_lv
0,9,Office,27000,2010,0,40.9,1,0,0,79.57,326,2095,3,0.7,0.43,0.75,0.4,1.02,1.15,60.41,7.35,46.73,5.1,57.55,85.71
0,15,Office,83957,1974,0,26.5,1,0,0,73.84,326,2095,2,0.66,0.65,0.8,0.81,1.08,1.07,51.43,46.33,61.63,63.88,72.04,69.39
0,17,Office,15250,1980,0,67.4,0,0,0,86.74,326,2095,3,0.61,0.78,0.78,1.05,1.32,1.26,38.78,77.14,55.71,99.59,93.47,94.29
0,19,Office,18717,2004,0,81.2,0,0,0,88.53,326,2095,3,0.76,0.8,0.81,0.92,0.75,0.87,75.31,81.63,64.9,87.55,18.78,31.43
0,21,Office,7043,1990,0,82.2,0,0,0,88.89,326,2095,3,0.78,0.67,0.89,0.81,0.69,1.02,78.98,50.61,86.73,63.88,13.27,56.33
0,25,Office,103286,1969,0,27.8,0,0,0,75.27,326,2095,3,0.58,0.63,0.51,0.53,0.81,0.86,33.88,41.84,12.24,13.27,24.49,30.2
0,26,Office,26953,2005,0,49.1,0,0,0,82.08,326,2095,3,0.43,0.45,0.8,0.96,1.05,1.1,11.02,10.41,61.63,92.45,64.69,76.12
0,28,Office,52957,2016,0,34.7,1,0,0,78.14,326,2095,3,0.84,0.78,0.88,0.87,0.84,0.9,88.57,77.14,84.9,76.73,29.39,35.71
0,32,Office,48392,2005,0,58.7,0,0,0,84.59,326,2095,3,0.51,0.44,0.65,0.69,1.09,1.27,24.29,9.18,30.82,35.92,73.88,94.9
0,38,Office,12769,2013,0,348.3,0,0,0,91.04,326,2095,3,0.95,0.94,0.96,1.01,1.15,1.27,99.39,97.55,95.51,98.37,82.24,94.9
0,39,Office,64619,1969,0,42.5,0,0,0,80.29,326,2095,3,0.77,0.82,0.79,0.86,0.98,1.03,77.96,86.73,58.37,74.69,46.73,58.37
0,41,Office,93860,1968,0,15.8,0,0,0,57.71,326,2095,2,0.87,0.88,0.95,1.01,0.86,1.13,93.47,94.29,94.08,98.37,31.22,83.88
0,55,Office,16726,2011,0,62,1,0,0,85.3,326,2095,3,0.75,0.65,0.95,1.04,1.27,1.19,72.45,46.33,94.08,99.18,92.45,88.78
0,79,Office,36240,2010,0,137.9,0,0,0,89.96,326,2095,3,0.87,0.87,0.86,0.93,0.87,0.9,93.47,93.06,81.84,89.59,32.65,35.71
0,80,Office,156111,2001,0,88,0,0,0,89.25,326,2095,3,0.72,0.76,0.94,0.98,0.87,0.83,63.47,71.63,92.86,95.51,32.65,26.53
0,82,Office,10743,1974,0,37.5,1,0,0,78.49,326,2095,3,0.64,0.76,1.02,1.01,0.83,1.1,46.73,71.63,98.98,98.37,27.14,76.12
0,84,Office,4038,1986,0,48.1,0,0,0,81.72,326,2095,3,0.55,0.54,0.79,0.69,0.67,0.68,30,22.86,58.37,35.92,12.04,13.47
0,92,Office,10779,1970,0,64,1,0,0,85.66,326,2095,3,0.81,0.81,0.8,0.99,1.06,1.1,84.49,84.29,61.63,96.53,67.14,76.12
0,93,Office,33370,1982,0,42.8,0,0,0,80.65,326,2095,3,0.81,0.81,0.85,0.88,1.08,1.12,84.49,84.29,79.59,80.41,72.04,81.22
0,99,Office,2260,2016,0,65.7,0,0,0,86.38,326,2095,3,0.62,0.58,0.76,0.68,0.78,0.76,42.04,28.16,48.98,34.29,21.63,18.37
0,101,Office,18860,1986,0,49.6,0,0,0,82.44,326,2095,3,0.68,0.47,0.97,0.97,1.19,0.99,56.12,12.45,96.73,93.88,87.35,50.2
0,102,Office,15876,1983,0,56.8,0,0,0,83.87,326,2095,3,0.72,0.7,0.97,0.92,0.23,0.49,63.47,57.96,96.73,87.55,0.82,2.86
0,104,Office,45330,2003,0,74.9,0,0,0,88.17,326,2095,3,0.86,0.71,0.95,1,0.93,1.09,92.24,60.61,94.08,97.35,39.18,73.67
1,140,Office,50020,0,11,5.4,0,0,0,7.89,2495,200,1,0.65,0.69,0.68,0.61,0.83,1.1,48.78,54.9,34.29,19.8,27.14,76.12
1,141,Office,44789,1919,5,11.4,0,0,0,39.43,2495,200,2,0.61,0.58,0.65,0.64,0.87,1.2,38.78,28.16,30.82,26.53,32.65,89.8
1,142,Office,45348,0,4,6.8,0,0,0,17.74,2495,200,1,0.68,0.69,0.72,0.73,1.03,1.1,56.12,54.9,42.04,43.27,59.8,76.12
1,143,Office,40085,0,4,11.5,0,0,0,40.14,2495,200,2,0.54,10.57,0.61,0.52,0.75,1.06,28.57,99.59,23.67,12.04,18.78,66.33
1,146,Office,31614,1956,8,5.4,0,0,0,7.89,2495,200,1,0.79,0.81,0.82,0.83,1.52,0.81,80.41,84.29,70,67.55,97.35,22.24
1,147,Office,82548,1977,7,16.8,0,0,0,61.29,2495,200,2,0.74,0.75,0.74,0.69,1.07,1.09,70,68.16,44.9,35.92,69.39,73.67
1,148,Office,174601,1960,12,9.5,0,0,0,31.9,2495,200,2,0.51,0.44,0.63,0.5,0.76,0.89,24.29,9.18,26.12,10.61,19.59,34.08
1,149,Office,81881,1960,8,11.6,0,0,0,41.22,2495,200,2,0.67,0.64,0.86,0.8,0.99,0.93,53.88,44.29,81.84,61.43,49.59,39.59
1,150,Office,65657,1955,8,55,0,0,0,83.15,2495,200,3,0.75,0.75,0.8,0.77,0.9,0.93,72.45,68.16,61.63,55.1,36.33,39.59
1,151,Office,30495,1997,8,14.7,0,0,0,55.2,2495,200,2,0.62,0.54,0.66,0.58,0.66,0.96,42.04,22.86,32.24,18.16,11.22,44.69
1,152,Office,10301,1970,2,11.6,0,0,0,41.22,2495,200,2,0.66,0.62,0.72,0.64,1.35,1.22,51.43,38.78,42.04,26.53,94.29,91.02
1,153,Office,16092,1965,3,11.2,0,0,0,39.07,2495,200,2,0.66,0.68,0.63,0.69,0.91,1.05,51.43,52.45,26.12,35.92,37.55,64.69
1,154,Office,34455,1907,8,58.2,0,0,0,84.23,2495,200,3,0.76,0.77,0.74,0.74,1.03,0.89,75.31,74.69,44.9,45.71,59.8,34.08
1,155,Office,51688,1930,8,13.8,0,0,0,53.23,2495,200,2,0.66,0.65,0.69,0.76,1.09,1.02,51.43,46.33,36.33,50.82,73.88,56.33
2,157,Office,5258,0,0,144,0,0,0,90.68,461,3000,3,0.49,0.5,0.84,0.79,0.78,0.92,18.78,16.33,77.14,60,21.63,37.96
2,158,Office,10135,0,0,15.5,0,0,0,57.35,461,3000,2,0.44,0.63,0.62,0.62,0.57,0.66,12.45,41.84,24.49,21.84,5.31,10.41
2,171,Office,131797,1968,0,2.4,1,0,1,0.36,461,3000,1,0.22,0.5,0.9,0.65,2.56,0.76,1.02,16.33,87.96,28.98,100,18.37
2,172,Office,121440,1983,0,8.6,1,0,0,27.78,461,3000,2,0.71,0.75,0.77,0.74,1.25,1.12,61.43,68.16,52.45,45.71,91.22,81.22
2,178,Office,23392,0,0,10.3,1,0,0,36.2,461,3000,2,0.57,0.43,0.52,0.38,1.13,1.15,32.65,7.35,13.27,4.49,79.8,85.71
2,188,Office,23549,1941,0,7.1,1,0,0,20.61,461,3000,1,0.75,0.62,0.78,0.65,0.86,0.82,72.45,38.78,55.71,28.98,31.22,24.29
2,194,Office,155682,0,0,6.8,1,0,0,17.74,461,3000,1,0.65,0.7,0.81,0.88,0.94,1.07,48.78,57.96,64.9,80.41,40,69.39
2,198,Office,163959,2004,0,7.1,1,0,0,20.61,461,3000,1,0.65,0.76,0.59,0.75,1.02,0.81,48.78,71.63,21.43,47.55,57.55,22.24
2,226,Office,74180,1930,0,6,1,0,1,11.83,461,3000,1,0.54,0.51,0.83,0.88,1.01,0.94,28.57,19.18,74.69,80.41,55.51,41.22
2,238,Office,45017,0,0,25.4,1,0,0,73.12,461,3000,2,0.84,0.81,0.92,0.97,1.05,0.94,88.57,84.29,90.61,93.88,64.69,41.22
2,246,Office,202435,1967,0,15.4,1,0,1,56.81,461,3000,2,0.85,0.86,0.89,0.88,1.02,1,90.61,91.84,86.73,80.41,57.55,53.06
2,264,Office,83660,1973,0,11.7,1,0,1,42.11,461,3000,2,0.8,0.79,0.76,0.75,1.19,1.2,82.65,79.59,48.98,47.55,87.35,89.8
2,265,Office,118966,1988,0,9,1,0,0,29.57,461,3000,2,0.51,0.62,0.64,0.62,1.01,1.04,24.29,38.78,28.37,21.84,55.51,61.84
